Date,away_team,home_team,away_pct_538,home_pct_538
8/27,TBR,BAL,69%,31%
8/27,ARI,PHI,37%,63%
8/27,STL,PIT,56%,44%
8/27,BOS,CLE,57%,43%
8/27,TOR,DET,56%,44%
8/27,CIN,MIA,52%,48%
8/27,WSH,NYM,42%,58%
8/27,SFG,ATL,46%,54%
8/27,HOU,TEX,64%,36%
8/27,CHC,CHW,42%,58%
8/27,MIL,MIN,54%,46%
8/27,SDP,LAA,56%,44%
8/27,NYY,OAK,58%,42%
8/27,COL,LAD,29%,71%
8/27,KCR,SEA,40%,60%
8/28,BOS,CLE,50%,50%
8/28,NYY,OAK,47%,53%
8/28,KCR,SEA,42%,58%
8/28,ARI,PHI,36%,64%
8/28,TOR,DET,57%,43%
8/28,CIN,MIA,49%,51%
8/28,TBR,BAL,61%,39%
8/28,STL,PIT,59%,41%
8/28,HOU,TEX,66%,34%
8/28,CHC,CHW,34%,66%
8/28,MIL,MIN,54%,46%
8/28,WSH,NYM,39%,61%
8/28,SFG,ATL,51%,49%
8/28,SDP,LAA,59%,41%
8/28,COL,LAD,31%,69%
8/29,TBR,BAL,69%,31%
8/29,ARI,PHI,43%,57%
8/29,STL,PIT,59%,41%
8/29,BOS,CLE,52%,48%
8/29,TOR,DET,57%,43%
8/29,CIN,MIA,58%,42%
8/29,WSH,NYM,45%,55%
8/29,SFG,ATL,46%,54%
8/29,CHC,CHW,40%,60%
8/29,MIL,MIN,56%,44%
8/29,HOU,TEX,67%,33%
8/29,COL,LAD,29%,71%
8/29,KCR,SEA,41%,59%
8/29,NYY,OAK,58%,42%
8/30,MIN,DET,51%,49%
8/30,STL,CIN,38%,62%
8/30,PHI,WSH,53%,47%
8/30,BAL,TOR,28%,72%
8/30,BOS,TBR,39%,61%
8/30,COL,TEX,54%,46%
8/30,NYY,LAA,57%,43%
8/30,SDP,ARI,53%,47%
8/30,MIL,SFG,53%,47%
8/30,ATL,LAD,31%,69%
8/30,HOU,SEA,58%,42%
8/31,STL,CIN,43%,57%
8/31,PHI,WSH,50%,50%
8/31,BAL,TOR,29%,71%
8/31,OAK,DET,52%,48%
8/31,MIA,NYM,39%,61%
8/31,BOS,TBR,44%,56%
8/31,COL,TEX,50%,50%
8/31,PIT,CHW,30%,70%
8/31,CLE,KCR,53%,47%
8/31,CHC,MIN,45%,55%
8/31,NYY,LAA,56%,44%
8/31,SDP,ARI,57%,43%
8/31,MIL,SFG,51%,49%
8/31,ATL,LAD,34%,66%
8/31,HOU,SEA,58%,42%
9/1,COL,TEX,53%,47%
9/1,SDP,ARI,62%,38%
9/1,HOU,SEA,55%,45%
9/1,STL,CIN,41%,59%
9/1,PHI,WSH,52%,48%
9/1,NYY,LAA,58%,42%
9/1,BAL,TOR,33%,67%
9/1,OAK,DET,52%,48%
9/1,MIA,NYM,39%,61%
9/1,BOS,TBR,39%,61%
9/1,PIT,CHW,28%,72%
9/1,CLE,KCR,46%,54%
9/1,CHC,MIN,43%,57%
9/1,MIL,SFG,41%,59%
9/1,ATL,LAD,41%,59%
9/2,OAK,DET,57%,43%
9/2,MIL,SFG,41%,59%
9/2,MIA,NYM,42%,58%
9/2,BOS,TBR,44%,56%
9/2,PIT,CHC,39%,61%
9/2,CLE,KCR,51%,49%
9/2,ATL,COL,59%,41%
9/3,PIT,CHC,43%,57%
9/3,BAL,NYY,35%,65%
9/3,NYM,WSH,53%,47%
9/3,OAK,TOR,46%,54%
9/3,CLE,BOS,44%,56%
9/3,DET,CIN,39%,61%
9/3,PHI,MIA,49%,51%
9/3,MIN,TBR,33%,67%
