Date,away_team,home_team,away_team_moneyline,home_team_moneyline
08/27,Rays,Orioles,-240,+195
08/27,Diamondbacks,Phillies,+210,-260
08/27,Cardinals,Pirates,-155,+135
08/27,Reds,Marlins,-140,+120
08/27,Blue Jays,Tigers,-165,+145
08/27,Red Sox,Indians,-195,+165
08/27,Nationals,Mets,+170,-200
08/27,Giants,Braves,+115,-135
08/27,Astros,Rangers,-200,+170
08/27,Cubs,White Sox,+180,-220
08/27,Brewers,Twins,-135,+115
08/27,Padres,,-210,+175
08/27,Yankees,Athletics,-160,+140
08/27,Rockies,,+190,-235
08/27,Royals,Mariners,+155,-180
